step,vehicle_id,lane_index,position,speed
0,0,0,75.44859354329782,27.242129779898097
0,1,0,45.917785644472005,26.61716993971408
0,2,2,135.26878110746864,25.426178306395876
0,3,0,220.84266351833398,27.380833974111574
0,4,4,86.02473383894618,25.89891192864606
1,0,0,80.95603565213558,28.06305959850182
1,1,0,51.313609411482666,27.62413032802964
1,2,2,140.34489690375497,25.29931864591864
1,3,0,226.37487831041813,28.1604759873047
1,4,4,91.18528024924758,25.631334578143736
2,0,0,86.61009650223838,28.639624848330495
2,1,0,56.88927713262047,28.331350792799967
2,2,2,145.39835546026882,25.210221051728865
2,3,0,232.04633780773918,28.708043491769555
2,4,4,96.29803712452099,25.443406452688055
3,0,0,92.36713238049988,29.044565051228002
3,1,0,62.59125501084071,28.828054329099565
3,2,2,150.43590111312903,25.147644963628505
3,3,0,237.81559331203053,29.092617651283966
3,4,4,101.37722988191467,25.311418523698606
4,0,0,98.196490912283,29.328967498256155
4,1,0,68.38194454945355,29.176905098078162
4,2,2,155.46227062515158,25.103695776924273
4,3,0,243.6535340777331,29.362716375113017
4,4,4,106.4328494865588,25.218719182625083
5,0,0,104.07664395518142,29.528712426758783
5,1,0,74.23493912252594,29.421914142957505
5,2,2,160.48079077625658,25.072828858415946
5,3,0,249.53971469781501,29.55241534164316
5,4,4,111.4719129125914,25.153613472570704
6,0,0,109.99247160670953,29.668999674211932
6,1,0,80.13169251266733,29.593991826055202
6,2,2,165.49379807031113,25.05115003499172
6,3,0,255.45977570945004,29.685646988918105
6,4,4,116.49934840522339,25.107887651517423
7,0,0,115.93335467609552,29.767527891901935
7,1,0,86.05917911863769,29.71484748277128
7,2,2,170.50293350865945,25.035924304411196
7,3,0,261.403632002944,29.779219833094746
7,4,4,121.51861722858082,25.075772945921702
8,0,0,121.89183496625412,29.83672740830424
8,1,0,92.00825064436721,29.79972827322208
8,2,2,175.50934961899463,25.025230787185915
8,3,0,267.3642004834227,29.844939032296995
8,4,4,126.532150339087,25.053217761744733
9,0,0,127.86267434699651,29.885328440400237
9,1,0,97.97248194913197,29.8593427652808
9,2,2,180.51385585835212,25.017720388256773
9,3,0,273.33650646696873,29.891095726386915
9,4,4,131.54165507513522,25.037376534997673
10,0,0,133.84219391207213,29.919462498607572
10,1,0,103.94736045124385,29.901211928427667
10,2,2,185.51702073427947,25.01244559504454
10,3,0,279.31705607406826,29.923513047887653
10,4,4,136.54833055504838,25.026250735142398
11,0,0,139.82780984803745,29.943435938665402
11,1,0,109.92971682035397,29.93061797991079
11,2,2,190.5192435277977,25.008740939180804
11,3,0,285.30339544146875,29.9462807688868
11,4,4,141.55301895795037,25.018436730305773
12,0,0,145.8177074601283,29.960273251847305
12,1,0,115.9173251344615,29.951270789731584
12,2,2,195.52080466672956,25.006139040961003
12,3,0,291.29380114257856,29.962271267037096
12,4,4,146.55631177315726,25.01294870496098
13,0,0,151.81061223021132,29.972098635042276
13,1,0,121.90862205740123,29.96577591816539
13,2,2,200.5219011044979,25.00431164468043
13,3,0,297.2870627598189,29.97350190496981
13,4,4,151.55862442252064,25.00909428935531
14,0,0,157.8056290234658,29.98040397961817
14,1,0,127.90250960821761,29.97596333347144
14,2,2,205.5226711677865,25.003028205866094
14,3,0,303.28233017823743,29.98138954093902
14,4,4,156.5602486700845,25.006387210082195
15,0,0,163.8021291580972,29.986237088565847
15,1,0,133.89821663979234,29.98311828084688
15,2,2,210.52321200784655,25.002126805766036
15,3,0,309.27900633493186,29.98692927978159
15,4,4,161.56138943106214,25.004485941786125
16,0,0,169.79967109078754,29.990333867415245
16,1,0,139.89520155085717,29.98814342907216
16,2,2,215.52359185710685,25.001493723665583
16,3,0,315.27667189354304,29.9908200154296
16,4,4,166.5621906239573,25.00315062029423
17,0,0,175.79794471155225,29.993211166140746
17,1,0,145.89308395753096,29.991672751282508
17,2,2,220.52385863738292,25.001049089872126
17,3,0,321.2750323407432,29.993552603429293
17,4,4,171.56275332733495,25.002212781331476
18,0,0,181.79673222023746,29.995231984998714
18,1,0,151.89159670405633,29.994151507073585
18,2,2,225.52404600569753,25.000736809347774
18,3,0,327.27388083040915,29.99547178731934
18,4,4,176.563148531902,25.00155410705311
19,0,0,187.79588064883393,29.99665127067125
19,1,0,157.8905521584061,29.995892416490637
19,2,2,230.52417760045347,25.000517484754543
19,3,0,333.27307208789745,29.99681969150549
19,4,4,181.56342609670077,25.001091499055136
20,0,0,193.79528256301964,29.997648080361703
20,1,0,163.88981854061063,29.99711511281647
