step,vehicle_id,lane_index,position,speed
0,0,0,16.81816516974035,27.80939274013579
0,1,0,44.62965328167945,27.002319599212782
0,2,0,74.83540956238492,26.639359198936102
0,3,0,220.09304851373193,27.55638729720043
0,4,1,14.506755357761344,26.6434884162829
0,5,1,136.52936131881768,27.38252344740907
0,6,1,105.38899182419594,26.69669137955465
0,7,1,76.29672550278933,27.67024947658153
0,8,2,161.19849617534734,25.406669667180832
0,9,2,8.821679169770716,25.30789296294062
0,10,2,109.63368802909294,25.930937167343025
0,11,2,135.86787452816688,25.50015177501667
1,0,0,22.426920910159662,28.4614665061036
1,1,0,50.09426509487219,27.89463324389156
1,2,0,80.2351963493554,27.6397145539853
1,3,0,225.65661727380805,28.283772697073555
1,4,1,19.907279626348497,27.642614635304312
1,5,1,142.06187785222323,28.161662558399783
1,6,1,110.79901818581187,27.679980776861427
1,7,1,81.88063014181665,28.363741744869333
1,8,2,166.27112771261338,25.285617105070763
1,9,2,13.876669106361755,25.21624306862222
1,10,2,114.79995417338382,25.6538269268582
1,11,2,140.9572020468324,25.35127257724079
2,0,0,28.15213756186705,28.91943875325795
2,1,0,55.71824485941908,28.521333636313415
2,2,0,85.81364742607542,28.342296092785286
2,3,0,231.35009766497262,28.794638711799262
2,4,1,25.48624865997898,28.34433291258684
2,5,1,147.7335492721185,28.70887685857433
2,6,1,116.38466084307848,28.37057634808375
2,7,1,87.5883930707357,28.850803530004253
2,8,2,171.32213916265482,25.200598021668355
2,9,2,18.915290296395515,25.15187441856595
2,10,2,119.91672820064986,25.45920354808148
2,11,2,146.01993961824087,25.246709958226727
3,0,0,33.95914843384811,29.2410872999562
3,1,0,61.4541538298553,28.961485352253042
3,2,0,91.51758014388152,28.83574156310846
3,3,0,237.13481914683308,29.153436242031855
3,4,1,31.19054515547803,28.837172086755093
3,5,1,153.5029536164071,29.09320295142669
3,6,1,122.09364443775681,28.85560369028653
3,7,1,93.38314563535376,29.192882588974182
3,8,2,176.35796613442605,25.140886402049656
3,9,2,23.942415192550914,25.106666258306948
3,10,2,124.99874233228252,25.322513328693717
3,11,2,151.0640022198336,25.173272288905466
4,0,0,39.82360600100078,29.466991354701747
4,1,0,67.26867425902313,29.270617970306667
4,2,0,97.30964262881528,29.182304088218835
4,3,0,242.98362216289965,29.4054312152542
4,4,1,36.98286313311248,29.183308790697676
4,5,1,159.34099891719688,29.36312745011038
4,6,1,127.88925431495203,29.196253894961185
4,7,1,99.23899380145038,29.433135645479812
4,8,2,181.383128561788,25.098949023113065
4,9,2,28.961465874075692,25.074915122432316
4,10,2,130.0563434782303,25.22651141878077
4,11,2,156.09494879324305,25.121694666556376
5,0,0,45.72841021826027,29.625650992602598
5,1,0,73.13840602820548,29.487731688336098
5,2,0,103.16360146597042,29.42570602629361
5,3,0,248.87743168858702,29.582415339108575
5,4,1,42.83700141095725,29.42641166095639
5,5,1,165.22725295561165,29.55270405275242
5,6,1,133.74570459907267,29.435503421426787
5,7,1,105.13775136117805,29.601873045933694
5,8,2,186.4008009387555,25.069495061500536
5,9,2,33.97484577660064,25.052615284890734
5,10,2,135.0967986040537,25.15908620907511
5,11,2,161.11668356085022,25.085470053877728
6,0,0,51.66155117743291,29.737082727314856
6,1,0,79.0469144861223,29.640217591808067
6,2,0,109.06103208959651,29.596654986916775
6,3,0,254.8028507244607,29.70671694598572
6,4,1,48.734558061514896,29.597150576693654
6,5,1,171.14736553128841,29.685849759957804
6,6,1,139.64488504553324,29.60353601065914
6,7,1,111.0666455595053,29.720382715388276
6,8,2,191.4132128139371,25.048808602864572
6,9,2,38.984242909786886,25.03695339624699
6,10,2,140.12521153192966,25.11173132928183
6,11,2,166.1319485828185,25.06002835059725
7,0,0,57.614593936138526,29.81534479613883
7,1,0,84.98265705190201,29.74731331550855
7,2,0,114.98899433828863,29.716717905763222
7,3,0,260.7504701296286,29.794017937372686
7,4,1,54.66260882294907,29.717065974303363
7,5,1,177.09125803985702,29.77936224567681
7,6,1,145.57407625072915,29.721550668665955
7,7,1,117.01670568233597,29.803615844003836
7,8,2,196.4219300705804,25.034279841792404
7,9,2,43.99084281677091,25.025953551273606
7,10,2,145.14516683929935,25.078472483665703
7,11,2,171.14266969564122,25.042159829226055
