step,vehicle_id,lane_index,position,virtual_position,speed,target_speed
0,0,0,159.93614857841106,0,26.74042791348643,26.74042791348643
0,1,0,100.85185446619298,0,26.87427048311155,26.87427048311155
0,2,0,11.228802049840859,0,25.636687597821897,25.636687597821897
0,3,0,41.385460831901426,0,26.692336722974645,26.692336722974645
0,4,1,130.648412654619,0,25.237226211566814,25.237226211566814
0,5,1,69.04185423741959,0,26.466409150832487,26.466409150832487
0,6,1,99.34073666910585,0,26.274577860351208,26.274577860351208
0,7,1,41.0838536723405,0,26.253964897263113,26.253964897263113
0,8,2,105.3525272538682,0,26.896237666324904,26.896237666324904
0,9,2,30.79592867925953,0,26.768627796033112,26.768627796033112
0,10,2,5.187550517372907,0,26.01562211602178,26.01562211602178
0,11,2,80.66562158916551,0,25.43085536392951,25.43085536392951
1,0,0,165.2469904362107,0,26.22235815048704,26.22235815048704
1,1,0,106.18660071708615,0,26.31636006495626,26.31636006495626
1,2,0,16.342514978834565,0,25.447166049499057,25.447166049499057
1,3,0,46.687713563494434,0,26.18858217031964,26.18858217031964
1,4,1,135.69078145125272,0,25.166611550510574,25.166611550510574
1,5,1,74.30375611867937,0,26.029906015399497,26.029906015399497
1,6,1,104.56837732399985,0,25.895176768861205,25.895176768861205
1,7,1,46.30781283506157,0,25.880699626061336,25.880699626061336
1,8,2,110.69119686176327,0,26.33178831983313,26.33178831983313
1,9,2,36.11180705929178,0,26.242163829312695,26.242163829312695
1,10,2,10.368941463197373,0,25.713303872981,25.713303872981
1,11,2,85.74257271177679,0,25.30260349291071,25.30260349291071
2,0,0,170.46530460794378,0,25.85850119759858,25.85850119759858
2,1,0,111.42170370811125,0,25.924521746581078,25.924521746581078
2,2,0,21.422379203312996,0,25.314059008701673,25.314059008701673
2,3,0,51.89999531737045,0,25.83477924719294,25.83477924719294
2,4,1,140.72053841130275,0,25.117016617093846,25.117016617093846
2,5,1,79.48769818068901,0,25.72333591205013,25.72333591205013
2,6,1,109.72825663168946,0,25.62871125604518,25.62871125604518
2,7,1,51.465106513131786,0,25.61854349594431,25.61854349594431
2,8,2,115.92905535180755,0,25.93535750309268,25.93535750309268
2,9,2,41.333658541564084,0,25.872411358858848,25.872411358858848
2,10,2,15.496338121993157,0,25.50097610832136,25.50097610832136
2,11,2,90.79661794466702,0,25.21252810476033,25.21252810476033
3,0,0,175.6186336284202,0,25.602952830137824,25.602952830137824
3,1,0,116.58682405297388,0,25.64932117181003,25.64932117181003
3,2,0,26.478470400751895,0,25.22057367963684,25.22057367963684
3,3,0,57.04908757798021,0,25.58629214617666,25.58629214617666
3,4,1,145.7414376754257,0,25.08218451022229,25.08218451022229
3,5,1,84.61688656991936,0,25.508021929999543,25.508021929999543
3,6,1,114.84054497947695,0,25.441564009732687,25.441564009732687
3,7,1,56.57557889059673,0,25.43442286683606,25.43442286683606
3,8,2,121.09611097170146,0,25.656931469936147,25.656931469936147
3,9,2,46.48947192829032,0,25.612722380981797,25.612722380981797
3,10,2,20.585812867265364,0,25.351851532867677,25.351851532867677
3,11,2,95.83457563909747,0,25.14926528070959,25.14926528070959
4,0,0,180.7263215001403,0,25.423473043937676,25.423473043937676
4,1,0,121.70279334867988,0,25.45603901230005,25.45603901230005
4,2,0,31.517865041477155,0,25.154915945094736,25.154915945094736
4,3,0,62.15379983783234,0,25.41177171308978,25.41177171308978
4,4,1,150.75611589659295,0,25.057720808276837,25.057720808276837
4,5,1,89.70761970474231,0,25.356800038627938,25.356800038627938
4,6,1,119.91940867504238,0,25.310124517123644,25.310124517123644
4,7,1,61.653167172163336,0,25.30510906422505,25.30510906422505
4,8,2,126.21343947291639,0,25.46138396791126,25.46138396791126
4,9,2,51.59890464983193,0,25.430334511745787,25.430334511745787
4,10,2,25.648653840625272,0,25.247116577267832,25.247116577267832
4,11,2,100.86123454108427,0,25.10483377739823,25.10483377739823
5,0,0,185.80195413432503,0,25.29741865362975,25.29741865362975
5,1,0,126.78424229161742,0,25.320290774070813,25.320290774070813
5,2,0,36.54553315677391,0,25.108802419600142,25.108802419600142
5,3,0,67.22734260469693,0,25.289200434982124,25.289200434982124
5,4,1,155.76642488045803,0,25.0405391685017,25.0405391685017
5,5,1,94.77134448530384,0,25.25059207102538,25.25059207102538
5,6,1,124.97479716904718,0,25.21781036044898,25.21781036044898
5,7,1,66.7076599021525,0,25.214287847576443,25.214287847576443
5,8,2,131.29584302932525,0,25.324044707229856,25.324044707229856
5,9,2,56.67576274781452,0,25.30223768177482,25.30223768177482
