step,vehicle_id,lane,pos_x,pos_y,speed,reward
0,0,"('a', 'b', 0)",14.78579319526823,0.0,25.429813098872128,-0.22850934505639364
0,1,"('a', 'b', 0)",164.40250893336489,0.0,25.839885961130918,-0.20800570194345414
0,2,"('a', 'b', 1)",194.4057174926673,3.5,25.200775387433286,-0.23996123062833574
0,3,"('a', 'b', 1)",45.22541306094476,3.5,26.32208881849767,-0.18389555907511657
0,4,"('a', 'b', 2)",110.19131156398159,13.5,25.809784809850644,-0.20951075950746778
0,5,"('a', 'b', 2)",160.85265213761315,13.5,25.75522554521913,-0.21223872273904354
0,6,"('a', 'b', 2)",9.786557546701872,13.5,25.49141153745185,-0.22542942312740755
0,7,"('a', 'b', 2)",199.76429480485956,13.5,25.136558954882737,-0.24317205225586314
1,0,"('a', 'b', 0)",19.86255816848243,0.0,25.30187147684846,-0.23490642615757695
1,1,"('a', 'b', 0)",169.55251325728702,0.0,25.589878754594007,-0.22050606227029967
1,2,"('a', 'b', 1)",199.44157614211008,3.5,25.141010971695255,-0.24294945141523727
1,3,"('a', 'b', 1)",50.461539212067386,3.5,25.92854523329329,-0.20357273833533562
1,4,"('a', 'b', 2)",115.33593979751046,13.5,25.568737753969177,-0.22156311230154113
1,5,"('a', 'b', 2)",165.98753604157406,13.5,25.530419038617552,-0.22347904806912244
1,6,"('a', 'b', 2)",14.874324051744713,13.5,25.345134029047117,-0.2327432985476442
1,7,"('a', 'b', 2)",204.78868434659583,13.5,25.09590971865564,-0.245204514067218
2,0,"('a', 'b', 0)",24.91647266270145,0.0,25.21201398648342,-0.23939930067582904
2,1,"('a', 'b', 0)",174.6578660883544,0.0,25.414290702814995,-0.22928546485925028
2,2,"('a', 'b', 1)",204.46676081771326,3.5,25.099036512356616,-0.2450481743821692
2,3,"('a', 'b', 1)",55.62737815496832,3.5,25.65214699512505,-0.21739265024374743
2,4,"('a', 'b', 2)",120.43751682846627,13.5,25.399442702376156,-0.2300278648811922
2,5,"('a', 'b', 2)",171.08226931843,13.5,25.372530243857593,-0.2313734878071203
2,6,"('a', 'b', 2)",19.935965273393457,13.5,25.242398659632542,-0.23788006701837294
2,7,"('a', 'b', 2)",209.80581390128577,13.5,25.06736046083908,-0.24663197695804606
3,0,"('a', 'b', 0)",29.954338535184498,0.0,25.148904199011678,-0.24255479004941605
3,1,"('a', 'b', 0)",179.73185874885718,0.0,25.29096960197706,-0.235451519901147
3,2,"('a', 'b', 1)",209.4844488203317,3.5,25.069556507992573,-0.2465221746003714
3,3,"('a', 'b', 1)",60.74385214504415,3.5,25.458023678331998,-0.2270988160834001
3,4,"('a', 'b', 2)",125.50885762387009,13.5,25.280541376703145,-0.23597293116484275
3,5,"('a', 'b', 2)",176.14880352659225,13.5,25.261639896920556,-0.2369180051539722
3,6,"('a', 'b', 2)",24.9792578735089,13.5,25.170244326106804,-0.24148778369465984
3,7,"('a', 'b', 2)",214.81784453503235,13.5,25.0473094045948,-0.24763452977026001
4,0,"('a', 'b', 0)",34.98093294768288,0.0,25.104580178181042,-0.2447709910909479
4,1,"('a', 'b', 0)",184.78382615925142,0.0,25.204357251319966,-0.23978213743400167
4,2,"('a', 'b', 1)",214.4968716699073,3.5,25.048851758699858,-0.24755741206500714
4,3,"('a', 'b', 1)",65.82565555096846,3.5,25.321684668458136,-0.23391576657709323
4,4,"('a', 'b', 2)",130.55896254464753,13.5,25.19703317540742,-0.24014834122962903
4,5,"('a', 'b', 2)",181.19553262752373,13.5,25.183758062034737,-0.2408120968982631
4,6,"('a', 'b', 2)",30.00966365027036,13.5,25.119568031504368,-0.24402159842478155
4,7,"('a', 'b', 2)",219.82628343080498,13.494050589525546,25.03322690693078,-0.24833865465346106
5,0,"('a', 'b', 0)",39.99961105358023,0.0,25.07345000168545,-0.24632749991572744
5,1,"('a', 'b', 0)",189.82032453253245,0.0,25.14352662918494,-0.242823668540753
5,2,"('a', 'b', 1)",219.50559663421834,3.5,25.034310151514852,-0.24828449242425743
5,3,"('a', 'b', 1)",70.88310869751612,3.5,25.225929424212026,-0.2387035287893987
5,4,"('a', 'b', 2)",135.59415283194252,13.5,25.13838269658244,-0.243080865170878
5,5,"('a', 'b', 2)",186.22835196864435,13.5,25.129059160167056,-0.24354704199164723
5,6,"('a', 'b', 2)",35.03101859910694,13.5,25.083976450110065,-0.24580117749449681
5,7,"('b', 'c', 2)",224.8319517354469,13.445114822209462,25.0233363187223,-0.248833184063885
6,0,"('a', 'b', 0)",45.01272928433393,0.0,25.05158628376262,-0.24742068581186893
6,1,"('a', 'b', 0)",194.84595850663382,0.0,25.100803339016036,-0.24495983304919822
6,2,"('b', 'c', 1)",224.5117244555177,3.5,25.02409711601592,-0.248795144199204
6,3,"('a', 'b', 1)",75.92345987863054,3.5,25.158677455688007,-0.2420661272155996
6,4,"('a', 'b', 2)",140.61886809544737,13.5,25.09719059074103,-0.2451404704629485
6,5,"('a', 'b', 2)",191.2514020408717,13.5,25.09064237312144,-0.24546788134392794
6,6,"('a', 'b', 2)",40.04601686221302,13.5,25.058979344933267,-0.24705103275333662
6,7,"('b', 'c', 2)",229.83468768120844,13.327129219077776,25.01638984250455,-0.24918050787477242
7,0,"('a', 'b', 0)",50.021942637071774,0.0,25.0362306958662,-0.2481884652066899
7,1,"('a', 'b', 0)",199.8639620659478,0.0,25.070797406826077,-0.24646012965869613
7,2,"('b', 'c', 1)",229.51602822027115,3.5,25.01692417476015,-0.24915379126199255
7,3,"('a', 'b', 1)",80.95179980281515,3.5,25.11144424871366,-0.24442778756431705
7,4,"('a', 'b', 2)",145.63622641494598,13.5,25.068260058243354,-0.24658699708783227
7,5,"('a', 'b', 2)",196.26759084331397,13.5,25.063661035717665,-0.2468169482141167
7,6,"('a', 'b', 2)",45.05655062176077,13.5,25.041423079020344,-0.2479288460489828
7,7,"('b', 'c', 2)",234.83388923871726,13.135116035665863,25.01151111023639,-0.24942444448818046
8,0,"('a', 'b', 0)",55.02841346917298,0.0,25.025445975697526,-0.24872770121512366
8,1,"('a', 'b', 0)",204.8766065410764,0.0,25.04972328161173,-0.24751383591941356
8,2,"('b', 'c', 1)",234.51905089181267,3.5,25.011886388857608,-0.24940568055711965
8,3,"('a', 'b', 1)",85.97170383735906,3.5,25.078270857807123,-0.24608645710964383
8,4,"('a', 'b', 2)",150.64841771752938,13.5,25.047941220604386,-0.2476029389697807
8,5,"('a', 'b', 2)",201.27896075668903,13.5,25.044711180092516,-0.2477644409953742
8,6,"('a', 'b', 2)",50.06394881776688,13.5,25.029092752343505,-0.24854536238282476
8,7,"('b', 'c', 2)",239.8290182730457,12.872611526134051,25.008084620632417,-0.2495957689683792
9,0,"('a', 'b', 0)",60.03295814137575,0.0,25.017871522026248,-0.24910642389868765
9,1,"('a', 'b', 0)",209.88548716009677,0.0,25.03492224991112,-0.248253887504444
9,2,"('b', 'c', 1)",239.52117381064568,3.5,25.0083481908026,-0.24958259045986997
9,3,"('a', 'b', 1)",90.98568307698388,3.5,25.054972125099102,-0.2472513937450449
9,4,"('a', 'b', 2)",155.65698005898713,13.5,25.03367065150816,-0.248316467424592
9,5,"('a', 'b', 2)",206.28694621025286,13.5,25.031402090819437,-0.24842989545902816
9,6,"('a', 'b', 2)",55.06914480728008,13.5,25.0204327698215,-0.24897836150892494
9,7,"('b', 'c', 2)",244.81976029031043,12.546016140788359,25.005678087467487,-0.24971609562662567
10,0,"('a', 'b', 0)",65.03615000991871,0.0,25.012551741121314,-0.2493724129439343
10,1,"('a', 'b', 0)",214.89172430267345,0.0,25.024527012283254,-0.24877364938583724
10,2,"('b', 'c', 1)",244.52266480439397,3.5,25.005863201222127,-0.24970683993889364
10,3,"('a', 'b', 1)",95.99550114377112,3.5,25.03860868045369,-0.24806956597731544
10,4,"('a', 'b', 2)",160.66299366505893,13.5,25.023647974721783,-0.24881760126391084
10,5,"('a', 'b', 2)",211.29255464951856,13.5,25.02205469204328,-0.24889726539783597
10,6,"('a', 'b', 2)",60.07279411678729,13.5,25.014350587309476,-0.24928247063452624
10,7,"('b', 'c', 2)",249.8061010505226,12.163458361948518,25.003987902309127,-0.2498006048845436
11,0,"('a', 'b', 0)",70.03839176121363,0.0,25.00881548896312,-0.24955922555184407
11,1,"('a', 'b', 0)",219.8961048472541,0.0,25.01722610464887,-0.24913869476755646
11,2,"('b', 'c', 1)",249.5237119769579,3.5,25.004117913615538,-0.2497941043192231
11,3,"('a', 'b', 1)",101.00239668587685,3.5,25.02711611027749,-0.2486441944861255
11,4,"('a', 'b', 2)",165.66721721280763,13.5,25.016608728474008,-0.2491695635762996
11,5,"('a', 'b', 2)",216.29649363566952,13.5,25.015489715125046,-0.24922551424374773
11,6,"('a', 'b', 2)",65.07535714349196,13.5,25.01007887613505,-0.24949605619324744
11,7,"('b', 'c', 2)",254.78836033662068,11.734404517194331,25.002800831251406,-0.2498599584374297
12,0,"('a', 'b', 0)",75.03996621479799,0.0,25.006191399655854,-0.24969043001720725
12,1,"('b', 'c', 0)",224.89918144372223,0.0,25.01209844386862,-0.249395077806569
12,2,"('b', 'c', 1)",254.52444743971887,3.5,25.002892142347264,-0.2498553928826368
12,3,"('a', 'b', 1)",106.0072396454902,3.5,25.019044510921916,-0.24904777445390425
12,4,"('a', 'b', 2)",170.67018354538283,13.5,25.011664840848688,-0.24941675795756557
12,5,"('b', 'c', 2)",221.2992265366546,13.485483516308554,25.010878922008263,-0.2494560538995868
12,6,"('a', 'b', 2)",70.07715723906504,13.5,25.007078716846564,-0.24964606415767177
12,7,"('b', 'c', 2)",259.76718419307974,11.269381710563177,25.001967113306886,-0.24990164433465567
13,0,"('a', 'b', 0)",80.04107200387232,0.0,25.004348417865295,-0.2497825791067353
13,1,"('b', 'c', 0)",229.90134223575473,0.0,25.00849712381445,-0.24957514380927748
13,2,"('b', 'c', 1)",259.52496397872244,3.5,25.002031244007956,-0.2498984377996022
13,3,"('a', 'b', 1)",111.01064101081535,3.5,25.013375568713336,-0.24933122156433318
13,4,"('a', 'b', 2)",175.6722668955591,13.5,25.00819259055491,-0.24959037047225452
13,5,"('b', 'c', 2)",226.3006820152121,13.418135888880697,25.007640614634063,-0.24961796926829682
13,6,"('a', 'b', 2)",75.07842150371994,13.5,25.004971609088397,-0.2497514195455801
13,7,"('b', 'c', 2)",264.74349934535707,10.779714097847357,25.001381566547494,-0.24993092167262532
14,0,"('a', 'b', 0)",85.041848634882,0.0,25.00305403284915,-0.2498472983575425
14,1,"('b', 'c', 0)",234.90285982906153,0.0,25.005967801636487,-0.2497016099181757
14,2,"('b', 'c', 1)",264.5253267605741,3.5,25.001426607588577,-0.24992866962057114
14,3,"('a', 'b', 1)",116.01302989839624,3.5,25.009394089411835,-0.2495302955294083
14,4,"('a', 'b', 2)",180.67373009897508,13.5,25.00575391819494,-0.2497123040902529
14,5,"('b', 'c', 2)",231.3000543094579,13.278450029718066,25.005366247863705,-0.24973168760681475
14,6,"('a', 'b', 2)",80.079309437195,13.5,25.003491719963318,-0.2498254140018341
14,7,"('b', 'c', 2)",269.71843698344196,10.277260587131499,25.00097031834337,-0.24995148408283152
15,0,"('a', 'b', 0)",90.04239408766247,0.0,25.002144944881707,-0.24989275275591472
15,1,"('b', 'c', 0)",239.9039256833456,0.0,25.00419137782974,-0.24979043110851296
15,2,"('b', 'c', 1)",269.5255815538636,3.5,25.001001952106108,-0.2499499023946946
15,3,"('a', 'b', 1)",121.01470769049696,3.5,25.006597769243978,-0.24967011153780105
15,4,"('a', 'b', 2)",185.67475775350044,13.5,25.00404116065269,-0.2497979419673655
15,5,"('b', 'c', 2)",236.29643142673055,13.065332120331172,25.0037688873885,-0.249811555630575
15,6,"('a', 'b', 2)",85.07993306125428,13.5,25.002452346531165,-0.24987738267344173
15,7,"('b', 'c', 2)",274.693234917771,9.774154012561313,25.000681485585467,-0.24996592572072662
16,0,"('a', 'b', 0)",95.04277717658373,0.0,25.001506463346274,-0.24992467683268627
16,1,"('b', 'c', 0)",244.90467426687567,0.0,25.00294373861293,-0.24985281306935347
16,2,"('b', 'c', 1)",274.5257605033344,3.5,25.000703702988105,-0.24996481485059474
16,3,"('a', 'b', 1)",126.01588605751421,3.5,25.004633824215247,-0.24976830878923761
16,4,"('a', 'b', 2)",190.67547950811908,13.5,25.00283823628831,-0.24985808818558453
16,5,"('b', 'c', 2)",241.28911813641997,12.783391664365661,25.00264701007258,-0.24986764949637108
16,6,"('a', 'b', 2)",90.08037105236313,13.5,25.001722361349735,-0.2499138819325133
16,7,"('b', 'c', 2)",279.6691279354101,9.282541565007978,25.000478629108038,-0.24997606854459808
17,0,"('a', 'b', 0)",100.04304623217726,0.0,25.001058037357055,-0.24994709813214722
17,1,"('b', 'c', 0)",249.90520002101476,0.0,25.002067481714434,-0.2498966259142783
17,2,"('b', 'c', 1)",279.52588618526727,3.5,25.000494233100014,-0.24997528834499927
17,3,"('a', 'b', 1)",131.0167136623329,3.5,25.003254482850764,-0.24983727585746185
17,4,"('a', 'b', 2)",195.67598641945617,13.5,25.001993384059826,-0.24990033079700869
17,5,"('b', 'c', 2)",246.2777326384097,12.43958373142107,25.001859079776626,-0.24990704601116875
17,6,"('a', 'b', 2)",95.08067866751777,13.5,25.00120966942533,-0.24993951652873359
17,7,"('b', 'c', 2)",284.64723644186193,8.814325060050004,25.000336156520323,-0.2499831921739839
18,0,"('a', 'b', 0)",105.04323519852005,0.0,25.000743093452417,-0.2499628453273791
18,1,"('b', 'c', 0)",254.90556927495058,0.0,25.001452058488052,-0.2499273970755974
18,2,"('b', 'c', 1)",284.5259744557057,3.5,25.000347115702613,-0.24998264421486938
18,3,"('a', 'b', 1)",136.01729491564865,3.5,25.002285727324544,-0.24988571363377277
18,4,"('a', 'b', 2)",200.6763424394899,13.5,25.00140001733694,-0.24992999913315295
18,5,"('b', 'c', 2)",251.26225171965353,12.042452084949822,25.00130569114627,-0.24993471544268642
18,6,"('a', 'b', 2)",100.08089471547275,13.5,25.000849589500366,-0.24995752052498177
18,7,"('b', 'c', 2)",289.6284633639668,8.380899600826108,25.00023609346832,-0.249988195326584
19,0,"('a', 'b', 0)",110.04336791562226,0.0,25.000521898282084,-0.2499739050858958
19,1,"('b', 'c', 0)",259.90582861379164,0.0,25.00101982708626,-0.24994900864568703
19,2,"('b', 'c', 1)",289.5260364508559,3.5,25.000243790452316,-0.24998781047738416
19,3,"('a', 'b', 1)",141.01770314843006,3.5,25.00160533935551,-0.24991973303222448
19,4,"('a', 'b', 2)",205.67659248373855,13.5,25.000983276922515,-0.24995083615387426
19,5,"('b', 'c', 2)",256.24301926352007,11.601796736114183,25.00091702862399,-0.24995414856880038
19,6,"('a', 'b', 2)",105.08104645285675,13.5,25.00059669386034,-0.2499701653069829
19,7,"('b', 'c', 2)",294.6134088173859,7.9928906777677895,25.000165815988723,-0.2499917092005639
20,0,"('a', 'b', 0)",115.04346112708498,0.0,25.00036654584421,-0.2499816727077896
20,1,"('b', 'c', 0)",264.9060107557486,0.0,25.000716257157976,-0.24996418714210122
20,2,"('b', 'c', 1)",294.5260799920313,3.5,25.00017122182659,-0.24999143890867048
20,3,"('a', 'b', 1)",146.01798986336024,3.5,25.001127481138575,-0.2499436259430713
20,4,"('a', 'b', 2)",210.6767680978062,13.5,25.000690586809778,-0.24996547065951114
20,5,"('b', 'c', 2)",261.22071766975233,11.128403197529579,25.00064405851232,-0.24996779707438388
20,6,"('a', 'b', 2)",110.0811530228713,13.5,25.000419077169404,-0.24997904614152977
20,7,"('b', 'c', 2)",299.60231106047,7.659892535042791,25.000116457868625,-0.2499941771065688
21,0,"('a', 'b', 0)",120.04352659247445,0.0,25.000257436861776,-0.24998712815691115
21,1,"('b', 'c', 0)",269.9061386798665,0.0,25.000503050294768,-0.24997484748526166
21,2,"('b', 'c', 1)",299.5261105723905,3.5,25.000120254561338,-0.24999398727193312
21,3,"('a', 'b', 1)",151.01819123241955,3.5,25.000791866039712,-0.24996040669801434
21,4,"('a', 'b', 2)",215.67689143717882,13.5,25.000485021188762,-0.24997574894056185
21,5,"('b', 'c', 2)",266.19630598674644,10.633778525185397,25.00045234287834,-0.24997738285608295
21,6,"('a', 'b', 2)",115.08122787039868,13.5,25.000294331290448,-0.24998528343547766
21,7,"('b', 'c', 2)",304.5950205374621,7.390214208199322,25.000081792083314,-0.24999591039583424
22,0,"('a', 'b', 0)",125.04357257090984,0.0,25.000180806136118,-0.24999095969319407
22,1,"('b', 'c', 0)",274.9062285250632,0.0,25.000353308300305,-0.24998233458498476
22,2,"('b', 'c', 1)",304.52613204995413,3.5,25.000084458621952,-0.24999577706890241
22,3,"('a', 'b', 1)",156.018332660346,3.5,25.000556152828988,-0.24997219235855062
22,4,"('b', 'c', 2)",220.67695499043126,13.491230331622765,25.00034064588292,-0.24998296770585404
22,5,"('b', 'c', 2)",271.17093182137415,10.129888823418657,25.000317694861057,-0.2499841152569472
22,6,"('a', 'b', 2)",120.0812804382094,13.5,25.00020671827258,-0.24998966408637102
22,7,"('b', 'c', 2)",309.59101117021913,7.1906432390602975,25.000057445194315,-0.24999712774028426
23,0,"('a', 'b', 0)",130.04360486303457,0.0,25.000126985928247,-0.2499936507035876
23,1,"('b', 'c', 0)",279.90629162621644,0.0,25.000248139711598,-0.24998759301442008
23,2,"('b', 'c', 1)",309.52614713433354,3.5,25.000059317989628,-0.24999703410051866
23,3,"('a', 'b', 1)",161.018431989699,3.5,25.000390603907327,-0.24998046980463362
23,4,"('b', 'c', 2)",225.6766196521053,13.430655006005189,25.000239246491155,-0.2499880376754422
23,5,"('b', 'c', 2)",276.14582578922335,9.628898528292465,25.000223127254955,-0.24998884363725227
23,6,"('a', 'b', 2)",125.08131735826304,13.5,25.000145184849877,-0.2499927407575061
23,7,"('b', 'c', 2)",314.5894294805769,7.0662398038747325,25.000040345596005,-0.24999798272019969
24,0,"('a', 'b', 0)",135.0436275428259,0.0,25.00008918627608,-0.2499955406861959
24,1,"('b', 'c', 0)",284.9063359441732,0.0,25.000174276450394,-0.24999128617748023
24,2,"('b', 'c', 1)",314.52615772857536,3.5,25.000041660920015,-0.2499979169539992
24,3,"('a', 'b', 1)",166.01850175187835,3.5,25.000274333608438,-0.24998628331957806
24,4,"('b', 'c', 2)",230.67491566699735,13.300051555369762,25.000168030457434,-0.24999159847712826
24,5,"('b', 'c', 2)",281.12218805580545,9.14291076886201,25.000156709402656,-0.24999216452986717
24,6,"('a', 'b', 2)",130.0813432883967,13.5,25.000101967960408,-0.24999490160197957
24,7,"('b', 'c', 2)",319.5891484320765,7.014839855776841,25.000028336001584,-0.24999858319992074
25,0,"('a', 'b', 0)",140.04364347156823,0.0,25.000062638372228,-0.24999686808138866
25,1,"('b', 'c', 0)",289.90636707009065,0.0,25.000122399921267,-0.24999388000393663
25,2,"('b', 'c', 1)",319.5261651692499,3.5,25.000029259795674,-0.24999853701021624
25,3,"('a', 'b', 1)",171.0185507480866,3.5,25.000192673261342,-0.24999036633693295
25,4,"('b', 'c', 2)",235.67073881627041,13.095932639079614,25.00011801316078,-0.24999409934196104
25,5,"('b', 'c', 2)",286.1010767751683,8.683707174559594,25.000110062022166,-0.24999449689889164
25,6,"('a', 'b', 2)",135.08136149995838,13.5,25.00007161535765,-0.24999641923211746
25,7,"('c', 'd', 2)",324.58913517269804,7.002544722006863,25.000019901279575,-0.2504442263829745
26,0,"('a', 'b', 0)",145.04365465883308,0.0,25.000043992930838,-0.2499978003534581
26,1,"('b', 'c', 0)",294.9063889308173,0.0,25.0000859653768,-0.24999570173115992
26,2,"('c', 'd', 1)",324.5261703950735,3.5,25.000020550089694,-0.24999897249551528
26,3,"('a', 'b', 1)",176.01858515968965,3.5,25.000135320589585,-0.24999323397052076
26,4,"('b', 'c', 2)",240.66323409250512,12.822303620862572,25.000082884414706,-0.24999585577926475
26,5,"('b', 'c', 2)",291.08330810635766,8.262485928854883,25.000077300075926,-0.24999613499620366
26,6,"('a', 'b', 2)",140.08137429052022,13.5,25.00005029775462,-0.24999748511226905
26,7,"('c', 'd', 2)",329.6961340635497,7.000392385673409,26.488354169348618,-0.17673171609544305
27,0,"('a', 'b', 0)",150.04366251600675,0.0,25.000030897641413,-0.2499984551179294
27,1,"('b', 'c', 0)",299.90640428430436,0.0,25.00006037623172,-0.24999698118841407
27,2,"('c', 'd', 1)",329.5261740653364,3.5,25.000014432984806,-0.24999927835075975
