step,vehicle_id,lane_index,position,speed,payoff
0,0,0,161.71884377264348,25.991491478654602,-0.20042542606726987
0,1,0,102.64347249840041,26.13295809808996,-200
0,2,0,12.937914556362319,25.565944531397243,-0.28108675500182256
0,3,0,43.164949946766406,26.114635464233878,-200
0,4,1,132.33089440205677,24.65531218805939,-0.26723439059703047
0,5,1,70.80628151414174,26.303474800739988,-0.40702917046431186
0,6,1,100.6648509323762,26.13295809808996,-200
0,7,1,42.40692913991341,26.114635464233878,-200
0,8,2,107.14560976495653,26.12998903673325,-0.1935005481633375
0,9,2,32.58050386566173,26.016558040918323,-0.19917209795408386
0,10,2,6.921925325107693,25.902775214241583,-0.9720360759300065
0,11,2,82.36101194676081,25.38298254571512,-1.0555633657116799
